PER,A
7.958203,0.0780099
3.27346074,0.0344721
19.12947337,0.13760999999999998
10.290994,0.091351
27.495606,0.185149
9.478522,0.0912977
5.03728015,0.06276509999999999
2.243752,0.036769300000000005
7.812512400000001,0.0825598
2605.0,3.7059599999999997
7.87288,0.07454730000000001
14.628,0.07836239999999998
23.477410100000004,0.170989
122.363553,0.48075
3.6961218999999996,0.0453704
3.039577,0.039948800000000007
3.137873,0.0419466
670.0,1.6486900000000002
1.6118649999999999,0.0269045
11.89520511,0.10198099999999999
20.35972599,0.13139
0.9283104999999999,0.0161327
19.78297415,0.143629
3.8334998999999996,0.0515012
4.9195838,0.0609811
153.979578,0.5527
0.959641,0.018149099999999998
6.48021673,0.0675681
12.205751300000001,0.0994208
13.0241,0.10690899999999999
22.0459018,0.15931800000000002
3.53232449,0.045841599999999996
56.056053799999994,0.23197800000000002
133.71001,0.49466800000000005
4.322482,0.0521087
37.514456,0.219317
7.267302000000001,0.0574114
15.56,0.119192
11.763050999999999,0.101225
21.38521506,0.146649
0.98678706,0.017386000000000002
2.03232507,0.032016300000000004
2.80624233,0.0337283
15.458056699999998,0.12144400000000001
2.46502,0.0366405
13.98179,0.11358299999999999
101.11140999999999,0.353207
13.61159129,0.0
30.9446,0.19095
11.349393,0.0988375
14.511429999999999,0.116434
2.24338185,0.0282874
3.18897601,0.0435026
13.71220213,0.10662100000000001
8.07124073,0.07713939999999998
12.412183,0.10491500000000001
23.968127,0.162691
3.764825,0.0473714
13.342996,0.0860831
4.48558383,0.0330793
3.6191633999999997,0.0461455
3668.0,4.92406
57.688019999999995,0.292189
6.04045,0.0649112
13.22713379,0.103279
6.9424334000000005,0.0726189
4.45743164,0.0483728
42.9495649,0.230006
84.703921,0.399998
299.36,1.08598
4.33642933,0.0556094
6.6264,0.0690438
47.332772999999996,0.256083
5.929778,0.0641159
3.43276598,0.0445351
5.1762429,0.0573666
0.66407381,0.014055400000000001
613.8,1.64347
41.40831347,0.223617
44.236000000000004,0.238855
225.7,0.687282
226.93,0.68156
106.247547,0.436075
13.32196237,0.125617
14.70748976,0.11825799999999999
4.03046804,0.048206599999999995
8.486616,0.081426
11.815007000000001,0.101523
2.2359835,0.0323373
6.849692,0.0705863
25.209715,0.168262
653.21997,1.5008700000000001
39.937670000000004,0.25272
29.726682,0.187804
51.755394,0.271796
10.52629406,0.0907551
3.5439190000000003,0.0454914
10.139623,0.0916828
4.6455,0.0499846
1970.0,1.7680799999999999
26.41045478,0.165053
5.08274652,0.056873900000000005
1.19655156,0.0208123
5.30880656,0.059158
0.7429600000000001,0.0130732
0.925542,0.019868200000000003
0.53835431,0.0131638
5.322023000000001,0.060831500000000004
18.369917,0.13625299999999999
2.51462432,0.0349411
3.3880199999999996,0.0441473
598.3,1.13179
109.6471842,0.43918500000000005
14.12841,0.114376
10.13202575,0.0832577
140.10126100000002,0.52792
974.0,1.98227
16.007583,0.124306
7.01075434,0.0746694
20.134866,0.144846
2146.0503,3.6002
5.714932,0.0552794
14.646007999999998,0.117153
19.76172042,0.13168
47.427737,0.25642600000000004
6.155557,0.0657332
10.912934300000002,0.07889
42.15164179999999,0.202122
14.5539759,0.127324
0.78884,0.016315200000000002
92.876125,0.401368
1.20846503,0.022851
25.660593,0.170262
12.282356,0.09024689999999999
3.282807,0.0432285
7.054346000000001,0.07198539999999999
2.7325321,0.041762099999999996
7.6188,0.06663469999999999
1244.0,2.36847
27.5073799,0.181834
20.7056504,0.154158
20.925392000000002,0.152944
4.645387,0.054486400000000004
5.169796,0.0585134
24.3078946,0.157968
6.47027579,0.0
4.393147,0.0481157
5.75999,0.057639300000000004
12.99207337,0.107432
